Year,SOI,Mon,month_num
1988,-0.2,Jan,1
1989,2.5,Jan,1
1990,-0.1,Jan,1
1991,1,Jan,1
1992,-4.7,Jan,1
1993,-1.5,Jan,1
1994,-0.2,Jan,1
1995,-0.7,Jan,1
1996,1.6,Jan,1
1997,0.8,Jan,1
1998,-4.4,Jan,1
1999,3,Jan,1
2000,1.1,Jan,1
2001,1.6,Jan,1
2002,0.7,Jan,1
2003,-0.3,Jan,1
2004,-2.2,Jan,1
2005,0.6,Jan,1
2006,2.7,Jan,1
2007,-1.3,Jan,1
2008,2.9,Jan,1
2009,1.8,Jan,1
2010,-1.8,Jan,1
2011,3.8,Jan,1
2012,1.8,Jan,1
2013,-0.1,Jan,1
2014,2.4,Jan,1
2015,-1.4,Jan,1
2016,-3.6,Jan,1
2017,0.3,Jan,1
2018,1.8,Jan,1
2019,-0.1,Jan,1
2020,0.3,Jan,1
1988,-0.6,Feb,2
1989,2,Feb,2
1990,-3,Feb,2
1991,0.4,Feb,2
1992,-1.5,Feb,2
1993,-1.2,Feb,2
1994,0.4,Feb,2
1995,-0.2,Feb,2
1996,0.4,Feb,2
1997,2.9,Feb,2
1998,-3.4,Feb,2
1999,1.6,Feb,2
2000,2.7,Feb,2
2001,2.8,Feb,2
2002,1.8,Feb,2
2003,-1.1,Feb,2
2004,2,Feb,2
2005,-5.2,Feb,2
2006,0.2,Feb,2
2007,-0.1,Feb,2
2008,4.4,Feb,2
2009,3.1,Feb,2
2010,-2.4,Feb,2
2011,4.5,Feb,2
2012,0.8,Feb,2
2013,-0.4,Feb,2
2014,0.1,Feb,2
2015,0.4,Feb,2
2016,-3.2,Feb,2
2017,-0.1,Feb,2
2018,-0.8,Feb,2
2019,-2.3,Feb,2
2020,-0.1,Feb,2
1988,1.1,Mar,3
1989,1.8,Mar,3
1990,-0.7,Mar,3
1991,-1.1,Mar,3
1992,-3.3,Mar,3
1993,-0.8,Mar,3
1994,-1.1,Mar,3
1995,1.2,Mar,3
1996,1.9,Mar,3
1997,-0.7,Mar,3
1998,-4,Mar,3
1999,2.1,Mar,3
2000,2.2,Mar,3
2001,1.5,Mar,3
2002,-0.4,Mar,3
2003,-0.5,Mar,3
2004,0.7,Mar,3
2005,0.5,Mar,3
2006,2.9,Mar,3
2007,0.3,Mar,3
2008,2.4,Mar,3
2009,0.7,Mar,3
2010,-1.1,Mar,3
2011,4.2,Mar,3
2012,1.2,Mar,3
2013,2.5,Mar,3
2014,-1.5,Mar,3
2015,-1.2,Mar,3
2016,-0.1,Mar,3
2017,1.5,Mar,3
2018,2.4,Mar,3
2019,-0.5,Mar,3
2020,-0.2,Mar,3
1988,0.2,Apr,4
1989,2.7,Apr,4
1990,0.3,Apr,4
1991,-1,Apr,4
1992,-1.7,Apr,4
1993,-1.9,Apr,4
1994,-2.1,Apr,4
1995,-1.1,Apr,4
1996,1.3,Apr,4
1997,-1,Apr,4
1998,-2.4,Apr,4
1999,2.3,Apr,4
2000,2,Apr,4
2001,0.3,Apr,4
2002,-0.1,Apr,4
2003,-0.2,Apr,4
2004,-1.5,Apr,4
2005,-1,Apr,4
2006,1.8,Apr,4
2007,-0.2,Apr,4
2008,1.1,Apr,4
2009,1.3,Apr,4
2010,2,Apr,4
2011,3.1,Apr,4
2012,-0.4,Apr,4
2013,0.4,Apr,4
2014,1.3,Apr,4
2015,-0.1,Apr,4
2016,-2,Apr,4
2017,-0.3,Apr,4
2018,0.8,Apr,4
2019,0.2,Apr,4
2020,0.3,Apr,4
1988,1.5,May,5
1989,2,May,5
1990,2,May,5
1991,-1.7,May,5
1992,0.4,May,5
1993,-0.6,May,5
1994,-1.1,May,5
1995,-0.6,May,5
1996,0.5,May,5
1997,-2.2,May,5
1998,0.4,May,5
1999,0.4,May,5
2000,0.6,May,5
2001,-0.8,May,5
2002,-1.4,May,5
2003,-0.5,May,5
2004,1.7,May,5
2005,-1.3,May,5
2006,-0.8,May,5
2007,-0.2,May,5
2008,-0.1,May,5
2009,-0.2,May,5
2010,1.5,May,5
2011,0.6,May,5
2012,0.1,May,5
2013,1.3,May,5
2014,0.9,May,5
2015,-1.2,May,5
2016,0.7,May,5
2017,0.4,May,5
2018,0.6,May,5
2019,-0.7,May,5
2020,0.7,May,5
1988,0.1,Jun,6
1989,1.2,Jun,6
1990,0.5,Jun,6
1991,-0.2,Jun,6
1992,-1,Jun,6
1993,-1.4,Jun,6
1994,-0.7,Jun,6
1995,0.2,Jun,6
1996,1.9,Jun,6
1997,-2.3,Jun,6
1998,1.6,Jun,6
1999,0.4,Jun,6
2000,-0.3,Jun,6
2001,0.5,Jun,6
2002,-0.4,Jun,6
2003,-1,Jun,6
2004,-1.4,Jun,6
2005,0.7,Jun,6
2006,-0.4,Jun,6
2007,0.9,Jun,6
2008,1,Jun,6
2009,0.2,Jun,6
2010,0.6,Jun,6
2011,0.4,Jun,6
2012,-0.7,Jun,6
2013,2,Jun,6
2014,0.3,Jun,6
2015,-0.9,Jun,6
2016,1.1,Jun,6
2017,-0.7,Jun,6
2018,-0.2,Jun,6
2019,-0.7,Jun,6
2020,-0.6,Jun,6
1988,1.7,Jul,7
1989,1.5,Jul,7
1990,0.9,Jul,7
1991,0,Jul,7
1992,-1,Jul,7
1993,-1.3,Jul,7
1994,-2.2,Jul,7
1995,0.7,Jul,7
1996,1.1,Jul,7
1997,-1.2,Jul,7
1998,2,Jul,7
1999,0.9,Jul,7
2000,-0.3,Jul,7
2001,-0.3,Jul,7
2002,-0.8,Jul,7
2003,0.5,Jul,7
2004,-0.8,Jul,7
2005,0.3,Jul,7
2006,-1,Jul,7
2007,-0.5,Jul,7
2008,0.5,Jul,7
2009,0.4,Jul,7
2010,3,Jul,7
2011,1.6,Jul,7
2012,-0.1,Jul,7
2013,1.3,Jul,7
2014,-0.3,Jul,7
2015,-1.9,Jul,7
2016,0.7,Jul,7
2017,1.3,Jul,7
2018,0.4,Jul,7
2019,-0.6,Jul,7
2020,0.7,Jul,7
1988,2.5,Aug,8
1989,-0.5,Aug,8
1990,-0.3,Aug,8
1991,-0.7,Aug,8
1992,0.6,Aug,8
1993,-1.6,Aug,8
1994,-2,Aug,8
1995,0.5,Aug,8
1996,1.2,Aug,8
1997,-2.4,Aug,8
1998,1.9,Aug,8
1999,0.6,Aug,8
2000,1.2,Aug,8
2001,-0.7,Aug,8
2002,-1.6,Aug,8
2003,0.2,Aug,8
2004,-0.5,Aug,8
2005,-0.6,Aug,8
2006,-1.7,Aug,8
2007,0.7,Aug,8
2008,1.7,Aug,8
2009,-0.3,Aug,8
2010,3,Aug,8
2011,0.7,Aug,8
2012,-0.3,Aug,8
2013,0.3,Aug,8
2014,-1.2,Aug,8
2015,-2.4,Aug,8
2016,1.2,Aug,8
2017,0.9,Aug,8
2018,-0.5,Aug,8
2019,-0.2,Aug,8
2020,1.8,Aug,8
1988,3,Sep,9
1989,0.8,Sep,9
1990,-1.2,Sep,9
1991,-2.5,Sep,9
1992,0.1,Sep,9
1993,-1.2,Sep,9
1994,-2.6,Sep,9
1995,0.4,Sep,9
1996,1,Sep,9
1997,-2.4,Sep,9
1998,1.7,Sep,9
1999,-0.1,Sep,9
2000,1.4,Sep,9
2001,0.3,Sep,9
2002,-1,Sep,9
2003,-0.2,Sep,9
2004,-0.6,Sep,9
2005,0.6,Sep,9
2006,-1,Sep,9
2007,0.3,Sep,9
2008,2,Sep,9
2009,0.5,Sep,9
2010,3.7,Sep,9
2011,1.7,Sep,9
2012,0.4,Sep,9
2013,0.5,Sep,9
2014,-1.2,Sep,9
2015,-2.7,Sep,9
2016,2,Sep,9
2017,1,Sep,9
2018,-1.5,Sep,9
2019,-1.9,Sep,9
2020,1.5,Sep,9
1988,2.3,Oct,10
1989,1.3,Oct,10
1990,0.4,Oct,10
1991,-1.7,Oct,10
1992,-2.3,Oct,10
1993,-1.8,Oct,10
1994,-1.9,Oct,10
1995,0,Oct,10
1996,1,Oct,10
1997,-2.4,Oct,10
1998,1.8,Oct,10
1999,1.6,Oct,10
2000,1.8,Oct,10
2001,-0.1,Oct,10
2002,-0.6,Oct,10
2003,0,Oct,10
2004,-0.1,Oct,10
2005,2,Oct,10
2006,-2.1,Oct,10
2007,1.2,Oct,10
2008,2.1,Oct,10
2009,-2,Oct,10
2010,2.9,Oct,10
2011,1.2,Oct,10
2012,0.5,Oct,10
2013,-0.1,Oct,10
2014,-1,Oct,10
2015,-2.8,Oct,10
2016,-0.4,Oct,10
2017,1.5,Oct,10
2018,0.6,Oct,10
2019,-0.6,Oct,10
2020,0.8,Oct,10
1988,2.8,Nov,11
1989,-0.4,Nov,11
1990,-0.8,Nov,11
1991,-1.1,Nov,11
1992,-1.1,Nov,11
1993,-0.1,Nov,11
1994,-0.9,Nov,11
1995,0.1,Nov,11
1996,-0.1,Nov,11
1997,-2,Nov,11
1998,1.7,Nov,11
1999,1.7,Nov,11
2000,3,Nov,11
2001,1.1,Nov,11
2002,-0.7,Nov,11
2003,-0.5,Nov,11
2004,-1.1,Nov,11
2005,-0.3,Nov,11
2006,0.1,Nov,11
2007,1.4,Nov,11
2008,2.2,Nov,11
2009,-1,Nov,11
2010,2.1,Nov,11
2011,1.8,Nov,11
2012,0.4,Nov,11
2013,1.2,Nov,11
2014,-1.5,Nov,11
2015,-0.8,Nov,11
2016,-0.2,Nov,11
2017,1.5,Nov,11
2018,-0.1,Nov,11
2019,-1.4,Nov,11
2020,1.1,Nov,11
1988,2,Dec,12
1989,-0.9,Dec,12
1990,-0.4,Dec,12
1991,-2.9,Dec,12
1992,-0.9,Dec,12
1993,0.3,Dec,12
1994,-2,Dec,12
1995,-0.8,Dec,12
1996,1.5,Dec,12
1997,-1.6,Dec,12
1998,2.3,Dec,12
1999,2.4,Dec,12
2000,1.3,Dec,12
2001,-1.4,Dec,12
2002,-1.8,Dec,12
2003,1.8,Dec,12
2004,-1.3,Dec,12
2005,0,Dec,12
2006,-0.5,Dec,12
2007,2.7,Dec,12
2008,2.4,Dec,12
2009,-1.2,Dec,12
2010,4.8,Dec,12
2011,4.1,Dec,12
2012,-1,Dec,12
2013,0.1,Dec,12
2014,-0.9,Dec,12
2015,-0.9,Dec,12
2016,0.5,Dec,12
2017,-0.2,Dec,12
2018,1.7,Dec,12
2019,-0.9,Dec,12
2020,3,Dec,12
